Task_ID,User_ID,User_Clearance,Policy_Level,Policy_Compartment,Action,Task_Difficulty,Requested_Resources,Decision,Reason,VM_ID,VM_Level,VM_Compartment,Eligible_VM_Count,Allocation_Score,In_Place_Scaled,Resource_Allocated,VM_Remaining_Resources_After,Alloc_Status_Key
0,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.06705,no,2,268,alloc_status_0
1,user_L1,L1,L1,research,write,medium,5,ALLOWED,GRANTED,vm-02,L1,research,2,-0.03185,no,5,247,alloc_status_1
2,user_L2,L2,L2,finance,read,easy,2,ALLOWED,GRANTED,vm-03,L2,finance,2,0.003365,no,2,232,alloc_status_2
3,user_L3,L3,L3,research,exec,medium,8,ALLOWED,GRANTED,vm-04,L3,research,2,0.05379,no,8,208,alloc_status_3
4,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-05,L4,finance,2,0.06042,no,5,194,alloc_status_4
5,user_L5,L5,L5,research,read,medium,5,ALLOWED,GRANTED,vm-06,L5,research,2,0.11083,no,5,176,alloc_status_5
6,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,-0.003815,no,4,264,alloc_status_6
7,user_L1,L1,L1,finance,write,medium,5,ALLOWED,GRANTED,vm-20,L1,finance,1,-0.004495,no,5,241,alloc_status_7
8,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.02384,no,4,228,alloc_status_8
9,user_L3,L3,L3,finance,exec,medium,9,ALLOWED,GRANTED,vm-10,L3,finance,1,0.059025,no,9,205,alloc_status_9
10,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.08845,no,4,193,alloc_status_10
11,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.06343,no,4,175,alloc_status_11
12,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.06311,no,2,266,alloc_status_12
13,user_L1,L1,L1,research,write,easy,4,ALLOWED,GRANTED,vm-02,L1,research,2,-0.021845,no,4,243,alloc_status_13
14,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.0077,no,3,229,alloc_status_14
15,user_L3,L3,L3,research,exec,medium,8,ALLOWED,GRANTED,vm-04,L3,research,2,0.070065,no,8,200,alloc_status_15
16,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-17,L4,finance,2,0.062035,no,4,190,alloc_status_16
17,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-06,L5,research,2,0.1203,no,4,172,alloc_status_17
18,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.00389,no,4,260,alloc_status_18
19,user_L1,L1,L1,finance,write,easy,4,ALLOWED,GRANTED,vm-20,L1,finance,1,0.00513,no,4,237,alloc_status_19
20,user_L2,L2,L2,research,read,easy,2,ALLOWED,GRANTED,vm-09,L2,research,1,0.031925,no,2,226,alloc_status_20
21,user_L3,L3,L3,finance,exec,medium,7,ALLOWED,GRANTED,vm-10,L3,finance,1,0.077115,no,7,198,alloc_status_21
22,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.09564,no,4,189,alloc_status_22
23,user_L5,L5,L5,finance,read,medium,6,ALLOWED,GRANTED,vm-12,L5,finance,1,0.07081,no,6,169,alloc_status_23
24,user_L0,L0,L0,finance,read,easy,3,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.05922,no,3,263,alloc_status_24
25,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-02,L1,research,2,-0.014035,no,3,240,alloc_status_25
26,user_L2,L2,L2,finance,read,easy,4,ALLOWED,GRANTED,vm-03,L2,finance,2,0.013575,no,4,225,alloc_status_26
27,user_L3,L3,L3,research,exec,medium,9,ALLOWED,GRANTED,vm-16,L3,research,2,0.0705,no,9,203,alloc_status_27
28,user_L4,L4,L4,finance,read,easy,3,ALLOWED,GRANTED,vm-05,L4,finance,2,0.069685,no,3,191,alloc_status_28
29,user_L5,L5,L5,research,read,medium,5,ALLOWED,GRANTED,vm-06,L5,research,2,0.12816,no,5,167,alloc_status_29
30,user_L0,L0,L0,research,exec,easy,3,ALLOWED,GRANTED,vm-07,L0,research,1,0.0117,no,3,257,alloc_status_30
31,user_L1,L1,L1,finance,write,medium,5,ALLOWED,GRANTED,vm-20,L1,finance,1,0.01294,no,5,232,alloc_status_31
32,user_L2,L2,L2,research,read,easy,3,ALLOWED,GRANTED,vm-09,L2,research,1,0.03585,no,3,223,alloc_status_32
33,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.090815,no,8,190,alloc_status_33
34,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.10345,no,4,185,alloc_status_34
35,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.08256,no,4,165,alloc_status_35
36,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.053345,no,2,261,alloc_status_36
37,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-02,L1,research,2,-0.00816,no,3,237,alloc_status_37
38,user_L2,L2,L2,finance,read,easy,4,ALLOWED,GRANTED,vm-03,L2,finance,2,0.021385,no,4,221,alloc_status_38
39,user_L3,L3,L3,research,exec,medium,8,ALLOWED,GRANTED,vm-04,L3,research,2,0.085705,no,8,192,alloc_status_39
40,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-17,L4,finance,2,0.070395,no,4,186,alloc_status_40
41,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-18,L5,research,2,0.12989,no,4,173,alloc_status_41
42,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.017575,no,4,253,alloc_status_42
43,user_L1,L1,L1,finance,write,medium,5,ALLOWED,GRANTED,vm-20,L1,finance,1,0.022755,no,5,227,alloc_status_43
44,user_L2,L2,L2,research,read,easy,3,ALLOWED,GRANTED,vm-09,L2,research,1,0.041725,no,3,220,alloc_status_44
45,user_L3,L3,L3,finance,exec,medium,9,ALLOWED,GRANTED,vm-10,L3,finance,1,0.10649,no,9,181,alloc_status_45
46,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.111275,no,5,180,alloc_status_46
47,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.09037,no,4,161,alloc_status_47
48,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.049405,no,2,259,alloc_status_48
49,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-02,L1,research,2,-0.002285,no,3,234,alloc_status_49
50,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.029195,no,3,218,alloc_status_50
51,user_L3,L3,L3,research,exec,medium,7,ALLOWED,GRANTED,vm-16,L3,research,2,0.08842,no,7,196,alloc_status_51
52,user_L4,L4,L4,finance,read,easy,3,ALLOWED,GRANTED,vm-05,L4,finance,2,0.07556,no,3,188,alloc_status_52
53,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-18,L5,research,2,0.137115,no,4,169,alloc_status_53
54,user_L0,L0,L0,research,exec,easy,3,ALLOWED,GRANTED,vm-07,L0,research,1,0.02542,no,3,250,alloc_status_54
55,user_L1,L1,L1,finance,write,easy,3,ALLOWED,GRANTED,vm-20,L1,finance,1,0.03252,no,3,224,alloc_status_55
56,user_L2,L2,L2,research,read,easy,3,ALLOWED,GRANTED,vm-09,L2,research,1,0.0476,no,3,217,alloc_status_56
57,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.124115,no,8,173,alloc_status_57
58,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.121075,no,5,175,alloc_status_58
59,user_L5,L5,L5,finance,read,medium,6,ALLOWED,GRANTED,vm-12,L5,finance,1,0.098195,no,6,155,alloc_status_59
60,user_L0,L0,L0,finance,read,easy,3,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.045465,no,3,256,alloc_status_60
61,user_L1,L1,L1,research,write,easy,4,ALLOWED,GRANTED,vm-02,L1,research,2,0.00359,no,4,230,alloc_status_61
62,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.03507,no,3,215,alloc_status_62
63,user_L3,L3,L3,research,exec,medium,9,ALLOWED,GRANTED,vm-04,L3,research,2,0.101395,no,9,183,alloc_status_63
64,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-17,L4,finance,2,0.078205,no,4,182,alloc_status_64
65,user_L5,L5,L5,research,read,medium,5,ALLOWED,GRANTED,vm-06,L5,research,2,0.137925,no,5,162,alloc_status_65
66,user_L0,L0,L0,research,exec,easy,3,ALLOWED,GRANTED,vm-07,L0,research,1,0.031295,no,3,247,alloc_status_66
67,user_L1,L1,L1,finance,write,easy,4,ALLOWED,GRANTED,vm-20,L1,finance,1,0.038395,no,4,220,alloc_status_67
68,user_L2,L2,L2,research,read,easy,3,ALLOWED,GRANTED,vm-09,L2,research,1,0.053475,no,3,214,alloc_status_68
69,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.13977,no,8,165,alloc_status_69
70,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.13089,no,4,171,alloc_status_70
71,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.109945,no,4,151,alloc_status_71
72,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.03959,no,2,254,alloc_status_72
73,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-02,L1,research,2,0.0114,no,3,227,alloc_status_73
74,user_L2,L2,L2,finance,read,easy,2,ALLOWED,GRANTED,vm-15,L2,finance,2,0.03527,no,2,228,alloc_status_74
75,user_L3,L3,L3,research,exec,medium,9,ALLOWED,GRANTED,vm-16,L3,research,2,0.102155,no,9,187,alloc_status_75
76,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-05,L4,finance,2,0.081435,no,5,183,alloc_status_76
77,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-18,L5,research,2,0.144975,no,4,165,alloc_status_77
78,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.03717,no,4,243,alloc_status_78
79,user_L1,L1,L1,finance,write,easy,4,ALLOWED,GRANTED,vm-20,L1,finance,1,0.046255,no,4,216,alloc_status_79
80,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.05935,no,4,210,alloc_status_80
81,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.15546,no,8,157,alloc_status_81
82,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.1387,no,4,167,alloc_status_82
83,user_L5,L5,L5,finance,read,medium,5,ALLOWED,GRANTED,vm-12,L5,finance,1,0.11779,no,5,146,alloc_status_83
84,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.0357,no,2,252,alloc_status_84
85,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-02,L1,research,2,0.017275,no,3,224,alloc_status_85
86,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-15,L2,finance,2,0.039315,no,3,225,alloc_status_86
87,user_L3,L3,L3,research,exec,medium,9,ALLOWED,GRANTED,vm-04,L3,research,2,0.11902,no,9,174,alloc_status_87
88,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-17,L4,finance,2,0.086015,no,5,177,alloc_status_88
89,user_L5,L5,L5,research,read,medium,5,ALLOWED,GRANTED,vm-06,L5,research,2,0.14774,no,5,157,alloc_status_89
90,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.044995,no,4,239,alloc_status_90
91,user_L1,L1,L1,finance,write,easy,4,ALLOWED,GRANTED,vm-20,L1,finance,1,0.054065,no,4,212,alloc_status_91
92,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.067175,no,4,206,alloc_status_92
93,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.171135,no,8,149,alloc_status_93
94,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.146525,no,5,162,alloc_status_94
95,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.12757,no,4,142,alloc_status_95
96,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.03176,no,2,250,alloc_status_96
97,user_L1,L1,L1,research,write,medium,5,ALLOWED,GRANTED,vm-02,L1,research,2,0.02315,no,5,219,alloc_status_97
98,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.040945,no,3,212,alloc_status_98
99,user_L3,L3,L3,research,exec,medium,8,ALLOWED,GRANTED,vm-16,L3,research,2,0.11978,no,8,179,alloc_status_99
100,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-05,L4,finance,2,0.09125,no,4,179,alloc_status_100
101,user_L5,L5,L5,research,read,easy,4,ALLOWED,GRANTED,vm-18,L5,research,2,0.152785,no,4,161,alloc_status_101
102,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.052805,no,4,235,alloc_status_102
103,user_L1,L1,L1,finance,write,medium,5,ALLOWED,GRANTED,vm-20,L1,finance,1,0.061875,no,5,207,alloc_status_103
104,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.074985,no,4,202,alloc_status_104
105,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.18679,no,8,141,alloc_status_105
106,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.156325,no,5,157,alloc_status_106
107,user_L5,L5,L5,finance,read,medium,5,ALLOWED,GRANTED,vm-12,L5,finance,1,0.135415,no,5,137,alloc_status_107
108,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.02782,no,2,248,alloc_status_108
109,user_L1,L1,L1,research,write,medium,5,ALLOWED,GRANTED,vm-14,L1,research,2,0.030845,no,5,243,alloc_status_109
110,user_L2,L2,L2,finance,read,easy,2,ALLOWED,GRANTED,vm-15,L2,finance,2,0.04519,no,2,223,alloc_status_110
111,user_L3,L3,L3,research,exec,medium,7,ALLOWED,GRANTED,vm-16,L3,research,2,0.13542,no,7,172,alloc_status_111
112,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-17,L4,finance,2,0.09583,no,5,172,alloc_status_112
113,user_L5,L5,L5,research,read,medium,6,ALLOWED,GRANTED,vm-06,L5,research,2,0.15754,no,6,151,alloc_status_113
114,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.06065,no,4,231,alloc_status_114
115,user_L1,L1,L1,finance,write,easy,3,ALLOWED,GRANTED,vm-20,L1,finance,1,0.07169,no,3,204,alloc_status_115
116,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.08283,no,4,198,alloc_status_116
117,user_L3,L3,L3,finance,exec,medium,8,ALLOWED,GRANTED,vm-10,L3,finance,1,0.20248,no,8,133,alloc_status_117
118,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.16614,no,4,153,alloc_status_118
119,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.145195,no,4,133,alloc_status_119
120,user_L0,L0,L0,finance,read,easy,2,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.02393,no,2,246,alloc_status_120
121,user_L1,L1,L1,research,write,easy,4,ALLOWED,GRANTED,vm-02,L1,research,2,0.032965,no,4,215,alloc_status_121
122,user_L2,L2,L2,finance,read,easy,3,ALLOWED,GRANTED,vm-03,L2,finance,2,0.04682,no,3,209,alloc_status_122
123,user_L3,L3,L3,research,exec,medium,7,ALLOWED,GRANTED,vm-04,L3,research,2,0.136645,no,7,167,alloc_status_123
124,user_L4,L4,L4,finance,read,medium,5,ALLOWED,GRANTED,vm-05,L4,finance,2,0.09906,no,5,174,alloc_status_124
125,user_L5,L5,L5,research,read,medium,5,ALLOWED,GRANTED,vm-18,L5,research,2,0.160595,no,5,156,alloc_status_125
126,user_L0,L0,L0,research,exec,easy,2,ALLOWED,GRANTED,vm-07,L0,research,1,0.068475,no,2,229,alloc_status_126
127,user_L1,L1,L1,finance,write,easy,3,ALLOWED,GRANTED,vm-20,L1,finance,1,0.077565,no,3,201,alloc_status_127
128,user_L2,L2,L2,research,read,easy,4,ALLOWED,GRANTED,vm-09,L2,research,1,0.090655,no,4,194,alloc_status_128
129,user_L3,L3,L3,finance,exec,medium,7,ALLOWED,GRANTED,vm-10,L3,finance,1,0.218155,no,7,126,alloc_status_129
130,user_L4,L4,L4,research,read,easy,4,ALLOWED,GRANTED,vm-11,L4,research,1,0.17395,no,4,149,alloc_status_130
131,user_L5,L5,L5,finance,read,easy,4,ALLOWED,GRANTED,vm-12,L5,finance,1,0.15304,no,4,129,alloc_status_131
132,user_L0,L0,L0,finance,read,easy,3,ALLOWED,GRANTED,vm-13,L0,finance,2,-0.021785,no,3,263,alloc_status_132
133,user_L1,L1,L1,research,write,easy,3,ALLOWED,GRANTED,vm-14,L1,research,2,0.040575,no,3,240,alloc_status_133
134,user_L2,L2,L2,finance,read,easy,2,ALLOWED,GRANTED,vm-15,L2,finance,2,0.04913,no,2,221,alloc_status_134
135,user_L3,L3,L3,research,exec,medium,7,ALLOWED,GRANTED,vm-16,L3,research,2,0.149155,no,7,165,alloc_status_135
136,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-17,L4,finance,2,0.105645,no,4,168,alloc_status_136
137,user_L5,L5,L5,research,read,medium,6,ALLOWED,GRANTED,vm-06,L5,research,2,0.16929,no,6,145,alloc_status_137
138,user_L0,L0,L0,research,exec,easy,4,ALLOWED,GRANTED,vm-07,L0,research,1,0.0724,no,4,225,alloc_status_138
139,user_L1,L1,L1,finance,write,easy,3,ALLOWED,GRANTED,vm-20,L1,finance,1,0.08344,no,3,198,alloc_status_139
140,user_L2,L2,L2,research,read,easy,3,ALLOWED,GRANTED,vm-09,L2,research,1,0.098465,no,3,191,alloc_status_140
141,user_L3,L3,L3,finance,exec,medium,9,ALLOWED,GRANTED,vm-10,L3,finance,1,0.231855,no,9,117,alloc_status_141
142,user_L4,L4,L4,research,read,medium,5,ALLOWED,GRANTED,vm-11,L4,research,1,0.181775,no,5,144,alloc_status_142
143,user_L5,L5,L5,finance,read,medium,5,ALLOWED,GRANTED,vm-12,L5,finance,1,0.16085,no,5,124,alloc_status_143
144,user_L0,L0,L0,finance,read,easy,3,ALLOWED,GRANTED,vm-01,L0,finance,2,-0.01999,no,3,243,alloc_status_144
145,user_L1,L1,L1,research,write,medium,5,ALLOWED,GRANTED,vm-02,L1,research,2,0.040775,no,5,210,alloc_status_145
146,user_L2,L2,L2,finance,read,easy,4,ALLOWED,GRANTED,vm-03,L2,finance,2,0.052695,no,4,205,alloc_status_146
147,user_L3,L3,L3,research,exec,medium,8,ALLOWED,GRANTED,vm-04,L3,research,2,0.15033,no,8,159,alloc_status_147
148,user_L4,L4,L4,finance,read,easy,4,ALLOWED,GRANTED,vm-05,L4,finance,2,0.108875,no,4,170,alloc_status_148
